"Series";"Time";"Value"
"cpu";"2019-12-05T19:47:20-05:00";16.075
"cpu";"2019-12-05T19:47:40-05:00";16.799999999999997
"cpu";"2019-12-05T19:48:00-05:00";16.8
"cpu";"2019-12-05T19:48:20-05:00";16.975
"cpu";"2019-12-05T19:48:40-05:00";16.925
"cpu";"2019-12-05T19:49:00-05:00";16.299999999999997
"cpu";"2019-12-05T19:49:20-05:00";16.299999999999997
"cpu";"2019-12-05T19:49:40-05:00";16.175
"cpu";"2019-12-05T19:50:00-05:00";14.675
"cpu";"2019-12-05T19:50:20-05:00";14.125
"cpu";"2019-12-05T19:50:40-05:00";13.875
"cpu";"2019-12-05T19:51:00-05:00";14.25
"cpu";"2019-12-05T19:51:20-05:00";14.625
"cpu";"2019-12-05T19:51:40-05:00";14.525
"cpu";"2019-12-05T19:52:00-05:00";14.15
"cpu";"2019-12-05T19:52:20-05:00";14.35
"cpu";"2019-12-05T19:52:40-05:00";14.4
"cpu";"2019-12-05T19:53:00-05:00";14.225000000000001
"cpu";"2019-12-05T19:53:20-05:00";14.975
"cpu";"2019-12-05T19:53:40-05:00";15.525
"cpu";"2019-12-05T19:54:00-05:00";16
"cpu";"2019-12-05T19:54:20-05:00";15.975
"cpu";"2019-12-05T19:54:40-05:00";16.325000000000003
"cpu";"2019-12-05T19:55:00-05:00";16.2
"cpu";"2019-12-05T19:55:20-05:00";16.05
"cpu";"2019-12-05T19:55:40-05:00";16.174999999999997
"cpu";"2019-12-05T19:56:00-05:00";15.85
"cpu";"2019-12-05T19:56:20-05:00";15.850000000000001
"cpu";"2019-12-05T19:56:40-05:00";15.899999999999999
"cpu";"2019-12-05T19:57:00-05:00";16.525
"cpu";"2019-12-05T19:57:20-05:00";16.525
"cpu";"2019-12-05T19:57:40-05:00";15.95
"cpu";"2019-12-05T19:58:00-05:00";15.25
"cpu";"2019-12-05T19:58:20-05:00";15.175
"cpu";"2019-12-05T19:58:40-05:00";15.175
"cpu";"2019-12-05T19:59:00-05:00";15.125
"cpu";"2019-12-05T19:59:20-05:00";15.55
"cpu";"2019-12-05T19:59:40-05:00";15.600000000000001
"cpu";"2019-12-05T20:00:00-05:00";15.625
"cpu";"2019-12-05T20:00:20-05:00";14.55
"cpu";"2019-12-05T20:00:40-05:00";13.925
"cpu";"2019-12-05T20:01:00-05:00";14.3
"cpu";"2019-12-05T20:01:20-05:00";14.525
"cpu";"2019-12-05T20:01:40-05:00";14.375
"cpu";"2019-12-05T20:02:00-05:00";14.25
"cpu";"2019-12-05T20:02:20-05:00";13.675
"cpu";"2019-12-05T20:02:40-05:00";13.05
"cpu";"2019-12-05T20:03:00-05:00";13
"cpu";"2019-12-05T20:03:20-05:00";12.75
"cpu";"2019-12-05T20:03:40-05:00";13.425
"cpu";"2019-12-05T20:04:00-05:00";14.075
"cpu";"2019-12-05T20:04:20-05:00";13.975000000000001
"cpu";"2019-12-05T20:04:40-05:00";13.8
"cpu";"2019-12-05T20:05:00-05:00";14.225
"cpu";"2019-12-05T20:05:20-05:00";14.4
"cpu";"2019-12-05T20:05:40-05:00";14.575
"cpu";"2019-12-05T20:06:00-05:00";15.25
"cpu";"2019-12-05T20:06:20-05:00";15.825
"cpu";"2019-12-05T20:06:40-05:00";15.9
"cpu";"2019-12-05T20:07:00-05:00";15.875
"cpu";"2019-12-05T20:07:20-05:00";15.350000000000001
"cpu";"2019-12-05T20:07:40-05:00";15.425
"cpu";"2019-12-05T20:08:00-05:00";16.125
"cpu";"2019-12-05T20:08:20-05:00";16.1
"cpu";"2019-12-05T20:08:40-05:00";16.05
"cpu";"2019-12-05T20:09:00-05:00";16.2
"cpu";"2019-12-05T20:09:20-05:00";16.275
"cpu";"2019-12-05T20:09:40-05:00";16.175
"cpu";"2019-12-05T20:10:00-05:00";16.450000000000003
"cpu";"2019-12-05T20:10:20-05:00";16.675
"cpu";"2019-12-05T20:10:40-05:00";17.65
"cpu";"2019-12-05T20:11:00-05:00";18.625
"cpu";"2019-12-05T20:11:20-05:00";18.825000000000003
"cpu";"2019-12-05T20:11:40-05:00";19.3
"cpu";"2019-12-05T20:12:00-05:00";19.475
"cpu";"2019-12-05T20:12:20-05:00";19.950000000000003
"cpu";"2019-12-05T20:12:40-05:00";19.55
"cpu";"2019-12-05T20:13:00-05:00";19.35
"cpu";"2019-12-05T20:13:20-05:00";19.475
"cpu";"2019-12-05T20:13:40-05:00";19.475
"cpu";"2019-12-05T20:14:00-05:00";19.25
"cpu";"2019-12-05T20:14:20-05:00";18.625
"cpu";"2019-12-05T20:14:40-05:00";18
"cpu";"2019-12-05T20:15:00-05:00";17.475
"cpu";"2019-12-05T20:15:20-05:00";17.4
"cpu";"2019-12-05T20:15:40-05:00";17.424999999999997
"cpu";"2019-12-05T20:16:00-05:00";17.575000000000003
"cpu";"2019-12-05T20:16:20-05:00";17.674999999999997
"cpu";"2019-12-05T20:16:40-05:00";16.7
"cpu";"2019-12-05T20:17:00-05:00";16.5
"cpu";"2019-12-05T20:17:20-05:00";16.1
"cpu";"2019-12-05T20:17:40-05:00";15.5
"cpu";"2019-12-05T20:18:00-05:00";15.850000000000001
"cpu";"2019-12-05T20:18:20-05:00";16
"cpu";"2019-12-05T20:18:40-05:00";15.7
"cpu";"2019-12-05T20:19:00-05:00";15.024999999999999
"cpu";"2019-12-05T20:19:20-05:00";15.375
"cpu";"2019-12-05T20:19:40-05:00";15.025
"cpu";"2019-12-05T20:20:00-05:00";15.25
"cpu";"2019-12-05T20:20:20-05:00";15.4
"cpu";"2019-12-05T20:20:40-05:00";15.225
"cpu";"2019-12-05T20:21:00-05:00";15.55
"cpu";"2019-12-05T20:21:20-05:00";15.524999999999999
"cpu";"2019-12-05T20:21:40-05:00";15.35
"cpu";"2019-12-05T20:22:00-05:00";15.575
"cpu";"2019-12-05T20:22:20-05:00";16.45
"cpu";"2019-12-05T20:22:40-05:00";16.45
"cpu";"2019-12-05T20:23:00-05:00";17.075
"cpu";"2019-12-05T20:23:20-05:00";17.5
"cpu";"2019-12-05T20:23:40-05:00";17.025
"cpu";"2019-12-05T20:24:00-05:00";17.575
"cpu";"2019-12-05T20:24:20-05:00";17.25
"cpu";"2019-12-05T20:24:40-05:00";16.8
"cpu";"2019-12-05T20:25:00-05:00";16.85
"cpu";"2019-12-05T20:25:20-05:00";17.375
"cpu";"2019-12-05T20:25:40-05:00";17.049999999999997
"cpu";"2019-12-05T20:26:00-05:00";17.55
"cpu";"2019-12-05T20:26:20-05:00";17.35
"cpu";"2019-12-05T20:26:40-05:00";17.325
"cpu";"2019-12-05T20:27:00-05:00";17.425
"cpu";"2019-12-05T20:27:20-05:00";17.200000000000003
"cpu";"2019-12-05T20:27:40-05:00";17.549999999999997
"cpu";"2019-12-05T20:28:00-05:00";18.075000000000003
"cpu";"2019-12-05T20:28:20-05:00";17.9
"cpu";"2019-12-05T20:28:40-05:00";18.025
"cpu";"2019-12-05T20:29:00-05:00";18.049999999999997
"cpu";"2019-12-05T20:29:20-05:00";17.7
"cpu";"2019-12-05T20:29:40-05:00";17.875
"cpu";"2019-12-05T20:30:00-05:00";18.125
"cpu";"2019-12-05T20:30:20-05:00";18.5
"cpu";"2019-12-05T20:30:40-05:00";18.5
"cpu";"2019-12-05T20:31:00-05:00";18.4
"cpu";"2019-12-05T20:31:20-05:00";18.450000000000003
"cpu";"2019-12-05T20:31:40-05:00";19.4
"cpu";"2019-12-05T20:32:00-05:00";19.625
"cpu";"2019-12-05T20:32:20-05:00";19.85
"cpu";"2019-12-05T20:32:40-05:00";19.549999999999997
"cpu";"2019-12-05T20:33:00-05:00";19.375
"cpu";"2019-12-05T20:33:20-05:00";20.125
"cpu";"2019-12-05T20:33:40-05:00";20.175
"cpu";"2019-12-05T20:34:00-05:00";20.375
"cpu";"2019-12-05T20:34:20-05:00";20.700000000000003
"cpu";"2019-12-05T20:34:40-05:00";20.375
"cpu";"2019-12-05T20:35:00-05:00";19.875
"cpu";"2019-12-05T20:35:20-05:00";19.7
"cpu";"2019-12-05T20:35:40-05:00";20.025
